building_addr,purpose
서울특별시 중구 남대문로3가 90,업무시설
서울특별시 중구 남대문로4가 17-11,업무시설
서울특별시 중구 남대문로4가 17-12,업무시설
서울특별시 중구 남대문로4가 17-42 흥국생명보험 남대문 5호 별관,업무시설
서울특별시 중구 남대문로4가 3-7,업무시설
서울특별시 중구 남대문로4가 45 서울상공회의소,업무시설
서울특별시 중구 남대문로5가 1-1,업무시설
서울특별시 중구 남대문로5가 118,업무시설
서울특별시 중구 남대문로5가 120 국제화재해상보험빌딩,업무시설
서울특별시 중구 남대문로5가 166,업무시설
서울특별시 중구 남대문로5가 171,업무시설
서울특별시 중구 남대문로5가 176 시티파크,업무시설
서울특별시 중구 남대문로5가 179 광명데이콤 업무시설빌딩(주건축물제1동),업무시설
서울특별시 중구 남대문로5가 19-4,업무시설
서울특별시 중구 남대문로5가 21-1,업무시설
서울특별시 중구 남대문로5가 267 남산그린빌딩,업무시설
서울특별시 중구 남대문로5가 36-1,업무시설
서울특별시 중구 남대문로5가 500 CJ THE CENTER,업무시설
서울특별시 중구 남대문로5가 526 서울로타워(Seoullo Tower),업무시설
서울특별시 중구 남대문로5가 537 메트로타워 업무동,업무시설
서울특별시 중구 남대문로5가 541 (제1호),업무시설
서울특별시 중구 남대문로5가 541 서울스퀘어,업무시설
서울특별시 중구 남대문로5가 581 서울시티타워,업무시설
서울특별시 중구 남대문로5가 6-1 WISE TOWER,업무시설
서울특별시 중구 남대문로5가 6-15,업무시설
서울특별시 중구 남대문로5가 6-8 화남빌딩,제1종근린생활시설
서울특별시 중구 남대문로5가 631 LG서울역빌딩,업무시설
서울특별시 중구 남대문로5가 827 남산트라팰리스(남산트라팰리스),업무시설
서울특별시 중구 남대문로5가 84-11 연세대학교 세브란스빌딩,업무시설
서울특별시 중구 남산동1가 1-2,제1종근린생활시설
서울특별시 중구 남산동1가 5-2,업무시설
서울특별시 중구 남산동2가 19-8,업무시설
서울특별시 중구 남산동2가 23,업무시설
서울특별시 중구 남산동3가 11-10 한국전력공사 경인건설본부 사옥,업무시설
서울특별시 중구 남산동3가 32-2 대한적십자사,업무시설
서울특별시 중구 남산동3가 32-2 대한적십자사(별관동),업무시설
서울특별시 중구 남산동3가 34-5,업무시설
서울특별시 중구 남창동 169-2 A동,업무시설
서울특별시 중구 남창동 30,제1종근린생활시설
서울특별시 중구 남창동 31-1,업무시설
서울특별시 중구 남창동 31-10,업무시설
서울특별시 중구 남창동 46-14,업무시설
서울특별시 중구 남창동 51-1,업무시설
서울특별시 중구 남창동 59-2,업무시설
서울특별시 중구 남창동 9-1,업무시설
서울특별시 중구 다동 10 한국관광공사 서울센터,업무시설
서울특별시 중구 다동 103 DB다동빌딩,업무시설
서울특별시 중구 다동 111,업무시설
서울특별시 중구 다동 117,업무시설
서울특별시 중구 다동 140 패스트파이브타워,업무시설
서울특별시 중구 다동 155 센터플레이스(Center Place),업무시설
서울특별시 중구 다동 33,업무시설
서울특별시 중구 다동 39 K Square 시티,업무시설
서울특별시 중구 다동 50,업무시설
서울특별시 중구 다동 58-1,업무시설
서울특별시 중구 다동 70 한외빌딩,업무시설
서울특별시 중구 다동 85 DGB금융센터,업무시설
서울특별시 중구 다동 88,업무시설
서울특별시 중구 다동 92,업무시설
서울특별시 중구 다동 97,업무시설
서울특별시 중구 만리동1가 38 (주)우리은행 중림동지점,업무시설
서울특별시 중구 만리동1가 51-1 SKY 1004빌딩,업무시설
서울특별시 중구 만리동1가 53-8,업무시설
서울특별시 중구 만리동1가 62-16,제1종근린생활시설
서울특별시 중구 만리동1가 62-7 서울역 디오빌(서울역 디오빌),업무시설
서울특별시 중구 만리동2가 11-1 KCC 파크타운(101동),업무시설
서울특별시 중구 만리동2가 11-1 KCC 파크타운(102동),업무시설
서울특별시 중구 만리동2가 11-1 KCC 파크타운(103동),업무시설
서울특별시 중구 만리동2가 11-1 KCC 파크타운(104동),업무시설
서울특별시 중구 만리동2가 171,업무시설
서울특별시 중구 명동1가 1-1 서울YWCA회관,업무시설
서울특별시 중구 명동1가 1-3,업무시설
서울특별시 중구 명동1가 4-1 은행연합회,업무시설
서울특별시 중구 명동1가 5-1,업무시설
서울특별시 중구 명동1가 53-1 (주)신한은행,업무시설
서울특별시 중구 명동1가 54-7,업무시설
서울특별시 중구 명동1가 54-8,업무시설
서울특별시 중구 명동1가 59-5 타임워크명동빌딩,업무시설
서울특별시 중구 명동1가 59-7,업무시설
서울특별시 중구 명동1가 65-2,업무시설
서울특별시 중구 명동1가 7-1,업무시설
서울특별시 중구 명동2가 1-3 천주교서울대교구청 별관,업무시설
서울특별시 중구 명동2가 2-20,업무시설
서울특별시 중구 명동2가 33-2 (주)우리은행 명동지점,업무시설
서울특별시 중구 명동2가 50-14 (유네스코회관),업무시설
서울특별시 중구 명동2가 51-6,업무시설
서울특별시 중구 명동2가 83-7,업무시설
서울특별시 중구 명동2가 92-3 현대해상화재보험 명동사옥,업무시설
서울특별시 중구 명동2가 92-3 현대해상화재보험 명동사옥,업무시설
서울특별시 중구 명동2가 92-3 현대해상화재보험 명동사옥,업무시설
서울특별시 중구 무교동 1 효령빌딩,업무시설
